UAI,Lat -WGS84,Lon – WGS84,,
0760918K,49,61762043,0,965654658
0760919L,49,56435153,1,5904438
0760920M,49,56704179,0,830755212
0760921N,49,58687094,0,984655268
0760923R,49,6138791,0,924674111
0760925T,49,59246344,0,893967177
0760927V,49,56547219,0,946309883
0760929X,49,57101912,0,950739459
0760932A,49,59834267,0,975055986
0760933B,49,65272796,1,42429187
0760934C,49,54496914,0,955050323
0760935D,49,55673966,0,954038544
0760936E,49,5411861,0,947859614
0760937F,49,56837597,0,955367616
0760938G,49,56791678,0,945316423
0760939H,49,40030762,1,84367466
0760942L,49,41625352,1,92991078
0760944N,49,40828689,1,96772018
0760949U,49,41960034,1,91877622
0760952X,49,41263608,1,8045572
0760956B,49,35679962,1,99612429
0760963J,49,37237612,1,101496026
0760968P,49,38900813,1,94073663
0760973V,49,39986173,1,72598191
0760974W,49,39561252,1,65219196
0760977Z,49,39853991,1,7716624
0760978A,49,39875638,1,77378582
0760979B,49,39894904,1,7733833
0760980C,49,39684624,1,69222958
0760983F,49,34044193,1,93709013
0760984G,49,38328089,1,10661556
0760987K,49,71794124,1,102827959
0760988L,49,74450781,1,19254564
0760993S,49,66558308,1,166170145
0760994T,49,70491856,1,27161234
0760997W,49,75583725,1,72415195
0760998X,49,75601095,1,72260213
0761001A,49,7059225,1,95734119
0761002B,49,68043254,1,106627337
0761003C,49,74030777,0,970436163
0761005E,49,67475933,1,119907538
0761007G,49,70412472,0,963889139
0761009J,49,69393252,1,91887494
0761013N,49,76177281,0,501722731
0761014P,49,74964239,0,449948928
0761018U,49,78822246,0,453161085
0761019V,49,75119656,0,563982001
0761020W,49,689685,0,502670535
0761021X,49,72541092,0,562049298
0761023Z,49,80732365,0,49712844
0761028E,49,70530404,0,55062596
0761029F,49,75298254,0,522648803
0761030G,49,76534156,0,543957252
0761031H,49,71988383,0,495157127
0761032J,49,71312695,0,510880618
0761033K,49,73818855,0,424731232
0761035M,49,69633958,0,532339714
0761036N,49,66821981,0,89604982
0761038R,49,65824598,0,968600317
0761039S,49,64310209,0,886737399
0761040T,49,67468273,0,945746855
0761041U,49,61546476,0,895405225
0761042V,49,67635955,0,845026138
0761044X,49,63960993,0,8047248
0761045Y,49,67549347,0,786230954
0761046Z,49,63484475,0,838337873
0761049C,49,71122441,0,908997372
0761052F,49,69969134,0,849672039
0761053G,49,64921606,0,893238633
0761054H,49,63379401,0,938784873
0761055J,49,69334324,0,902968405
0761056K,49,6208242,0,759157488
0761061R,49,64992772,0,726735942
0761062S,49,59690541,0,723856936
0761063T,49,6411312,0,774040978
0761064U,49,58137346,0,697184879
0761066W,49,60767544,0,783797062
0761067X,49,62279669,0,774818794
0761068Y,49,58124051,0,766145311
0761069Z,49,61211406,0,689809977
0761071B,49,61284971,0,754651077
0761074E,49,47735731,1,38115183
0761076G,49,48106405,1,41561407
0761081M,49,42486067,1,20107152
0761083P,49,44646615,1,31824354
0761086T,49,44971891,1,35972145
0761089W,49,44040922,1,25869413
0761091Y,49,46572557,1,53615215
0761094B,49,50575485,1,39726287
0761099G,49,52451884,1,35726506
0761100H,49,45926793,1,1026575
0761101J,49,45968731,1,89454738
0761105N,49,46191497,1,74851969
0761109T,49,48619292,1,47403536
0761111V,49,49073483,1,48633273
0761114Y,49,52735486,0,994509626
0761115Z,49,51071469,0,975931647
0761118C,49,48355107,1,39355442
0761119D,49,46226186,1,52405514
0761120E,49,47073555,1,51130082
0761121F,49,5453839,0,194949223
0761122G,49,54731415,0,189373541
